customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,TenureGroup
7590-VHVEG,Female,False,True,False,1,False,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,True,Electronic check,29.850000381469727,29.850000381469727,False,0-12 months
5575-GNVDE,Male,False,False,False,34,True,No,DSL,Yes,No,Yes,No,No,No,One year,False,Mailed check,56.95000076293945,1889.5,False,25-48 months
3668-QPYBK,Male,False,False,False,2,True,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,True,Mailed check,53.849998474121094,108.1500015258789,True,0-12 months
7795-CFOCW,Male,False,False,False,45,False,No phone service,DSL,Yes,No,Yes,Yes,No,No,One year,False,Bank transfer (automatic),42.29999923706055,1840.75,False,25-48 months
9237-HQITU,Female,False,False,False,2,True,No,Fiber optic,No,No,No,No,No,No,Month-to-month,True,Electronic check,70.69999694824219,151.64999389648438,True,0-12 months
9305-CDSKC,Female,False,False,False,8,True,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,True,Electronic check,99.6500015258789,820.5,True,0-12 months
1452-KIOVK,Male,False,False,True,22,True,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,True,Credit card (automatic),89.0999984741211,1949.4000244140625,False,13-24 months
6713-OKOMC,Female,False,False,False,10,False,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,False,Mailed check,29.75,301.8999938964844,False,0-12 months
7892-POOKP,Female,False,True,False,28,True,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,True,Electronic check,104.80000305175781,3046.050048828125,True,25-48 months
6388-TABGU,Male,False,False,True,62,True,No,DSL,Yes,Yes,No,No,No,No,One year,False,Bank transfer (automatic),56.150001525878906,3487.949951171875,False,49-72 months
9763-GRSKD,Male,False,True,True,13,True,No,DSL,Yes,No,No,No,No,No,Month-to-month,True,Mailed check,49.95000076293945,587.4500122070312,False,13-24 months
7469-LKBCI,Male,False,False,False,16,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,False,Credit card (automatic),18.950000762939453,326.79998779296875,False,13-24 months
8091-TTVAX,Male,False,True,False,58,True,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,False,Credit card (automatic),100.3499984741211,5681.10009765625,False,49-72 months
0280-XJGEX,Male,False,False,False,49,True,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,True,Bank transfer (automatic),103.69999694824219,5036.2998046875,True,49-72 months
5129-JLPIS,Male,False,False,False,25,True,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,True,Electronic check,105.5,2686.050048828125,False,25-48 months
3655-SNQYZ,Female,False,True,True,69,True,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,False,Credit card (automatic),113.25,7895.14990234375,False,49-72 months
8191-XWSZG,Female,False,False,False,52,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,False,Mailed check,20.649999618530273,1022.9500122070312,False,49-72 months
9959-WOFKT,Male,False,False,True,71,True,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,False,Bank transfer (automatic),106.69999694824219,7382.25,False,49-72 months
4190-MFLUW,Female,False,True,True,10,True,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,False,Credit card (automatic),55.20000076293945,528.3499755859375,True,0-12 months
4183-MYFRB,Female,False,False,False,21,True,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,True,Electronic check,90.05000305175781,1862.9000244140625,False,13-24 months
8779-QRDMV,Male,True,False,False,1,False,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,True,Electronic check,39.650001525878906,39.650001525878906,True,0-12 months
1680-VDCWW,Male,False,True,False,12,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,False,Bank transfer (automatic),19.799999237060547,202.25,False,0-12 months
1066-JKSGK,Male,False,False,False,1,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,False,Mailed check,20.149999618530273,20.149999618530273,True,0-12 months
3638-WEABW,Female,False,True,False,58,True,Yes,DSL,No,Yes,No,Yes,No,No,Two year,True,Credit card (automatic),59.900001525878906,3505.10009765625,False,49-72 months
6322-HRPFA,Male,False,True,True,49,True,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,False,Credit card (automatic),59.599998474121094,2970.300048828125,False,49-72 months
6865-JZNKO,Female,False,False,False,30,True,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,True,Bank transfer (automatic),55.29999923706055,1530.5999755859375,False,25-48 months
6467-CHFZW,Male,False,True,True,47,True,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,True,Electronic check,99.3499984741211,4749.14990234375,True,25-48 months
8665-UTDHZ,Male,False,True,True,1,False,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,False,Electronic check,30.200000762939453,30.200000762939453,True,0-12 months
5248-YGIJN,Male,False,True,False,72,True,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,True,Credit card (automatic),90.25,6369.4501953125,False,49-72 months
8773-HHUOZ,Female,False,False,True,17,True,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,True,Mailed check,64.69999694824219,1093.0999755859375,True,13-24 months
3841-NFECX,Female,True,True,False,71,True,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,True,Credit card (automatic),96.3499984741211,6766.9501953125,False,49-72 months
4929-XIHVW,Male,True,True,False,2,True,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,True,Credit card (automatic),95.5,181.64999389648438,False,0-12 months
6827-IEAUQ,Female,False,True,True,27,True,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,False,Mailed check,66.1500015258789,1874.449951171875,False,25-48 months
7310-EGVHZ,Male,False,False,False,1,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,False,Bank transfer (automatic),20.200000762939453,20.200000762939453,False,0-12 months
3413-BMNZE,Male,True,False,False,1,True,No,DSL,No,No,No,No,No,No,Month-to-month,False,Bank transfer (automatic),45.25,45.25,False,0-12 months
6234-RAAPL,Female,False,True,True,72,True,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,False,Bank transfer (automatic),99.9000015258789,7251.7001953125,False,49-72 months
6047-YHPVI,Male,False,False,False,5,True,No,Fiber optic,No,No,No,No,No,No,Month-to-month,True,Electronic check,69.69999694824219,316.8999938964844,True,0-12 months
6572-ADKRS,Female,False,False,False,46,True,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,True,Credit card (automatic),74.80000305175781,3548.300048828125,False,25-48 months
5380-WJKOV,Male,False,False,False,34,True,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,True,Electronic check,106.3499984741211,3549.25,True,25-48 months
8168-UQWWF,Female,False,False,False,11,True,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,True,Bank transfer (automatic),97.8499984741211,1105.4000244140625,True,0-12 months
8865-TNMNX,Male,False,True,True,10,True,No,DSL,No,Yes,No,No,No,No,One year,False,Mailed check,49.54999923706055,475.70001220703125,False,0-12 months
9489-DEDVP,Female,False,True,True,70,True,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,True,Credit card (automatic),69.19999694824219,4872.35009765625,False,49-72 months
9867-JCZSP,Female,False,True,True,17,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,False,Mailed check,20.75,418.25,False,13-24 months
4671-VJLCL,Female,False,False,False,63,True,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,True,Credit card (automatic),79.8499984741211,4861.4501953125,False,49-72 months
4080-IIARD,Female,False,True,False,13,True,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,True,Electronic check,76.19999694824219,981.4500122070312,False,13-24 months
3714-NTNFO,Female,False,False,False,49,True,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,True,Electronic check,84.5,3906.699951171875,False,49-72 months
5948-UJZLF,Male,False,False,False,2,True,No,DSL,No,Yes,No,No,No,No,Month-to-month,False,Mailed check,49.25,97.0,False,0-12 months
7760-OYPDY,Female,False,False,False,2,True,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,True,Electronic check,80.6500015258789,144.14999389648438,True,0-12 months
7639-LIAYI,Male,False,False,False,52,True,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two year,True,Credit card (automatic),79.75,4217.7998046875,False,49-72 months
2954-PIBKO,Female,False,True,True,69,True,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,True,Credit card (automatic),64.1500015258789,4254.10009765625,False,49-72 months
8012-SOUDQ,Female,True,False,False,43,True,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,True,Electronic check,90.25,3838.75,False,25-48 months
9420-LOJKX,Female,False,False,False,15,True,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,True,Credit card (automatic),99.0999984741211,1426.4000244140625,True,13-24 months
6575-SUVOI,Female,True,True,False,25,True,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,True,Credit card (automatic),69.5,1752.6500244140625,False,25-48 months
7495-OOKFY,Female,True,True,False,8,True,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,True,Credit card (automatic),80.6500015258789,633.2999877929688,True,0-12 months
4667-QONEA,Female,True,True,True,60,True,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,True,Credit card (automatic),74.8499984741211,4456.35009765625,False,49-72 months
1658-BYGOY,Male,True,False,False,18,True,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,True,Electronic check,95.44999694824219,1752.550048828125,True,13-24 months
8769-KKTPH,Female,False,True,True,63,True,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,True,Credit card (automatic),99.6500015258789,6311.2001953125,False,49-72 months
5067-XJQFU,Male,True,True,True,66,True,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,True,Electronic check,108.44999694824219,7076.35009765625,False,49-72 months
